,Employer,Location,Union,Expiration date,NAICS,Number of workers,Sector type,Contract link
0,ABC INC. (DISNEY- WAS CAPITAL CITIES),NATIONAL,CWA/NABET,"May 12, 2003",515120,1800,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=443
1,30 MAJOR LEAGUE CLUBS,NY,MLBPA,"Dec 01, 2021",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2447
2,3535 LV CORP DBA LINQ HOTEL,NV,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 357,"Mar 31, 2019",,48,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2574
3,9W HALO OPCO L.P. DBA ANGELICA,IL,TEAMSTERS (IBT) LOCAL UNION 14,"Aug 22, 2022",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1743
4,A & P TEA CO. INC.,NY NJ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 464 A,"Nov 08, 2008",445110,8000,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=611
5,A & P TEA CO. INC.,MI,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876,"Jun 01, 2007",445110,8000,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=655
6,A & P TEA CO. INC.,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 342 050,"Oct 30, 2003",445110,1600,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=689
7,A. O. SMITH WATER PRODUCTS CO.,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 104,"Feb 07, 2010",316999,1000,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1803
8,A.S. AMERICA INC,OH,"STEELWORKERS, AFL-CIO (USW) LOCAL UNION 07 1538","Jan 31, 2020",,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2410
9,AALBERTS IPS-ELKHART PRODUCTS CORPORATION,IN,MACHINISTS AFL-CIO (IAM) LODGE 2018,"Aug 13, 2022",332996,120,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=1157
10,ABBOTT HOUSE,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 888,"May 31, 2019",623990,130,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2551
11,ABBOTT NORTHWESTERN HOSPITAL,MN,SEIU -,"Dec 31, 2013",62211,1000,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2032
12,ABC INC.,NY,STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 804,"Dec 11, 2016",513120,,PRIVATE,https://olmsapps.dol.gov/olpdr/GetAttachmentServlet?docId=2172
